name	component	type	tracked_point	units	sampling_frequency
lb_hd_POS_err	n/a	POS	lb_hd	mm	200
rb_hd_POS_x	x	POS	rb_hd	mm	200
rb_hd_POS_y	y	POS	rb_hd	mm	200
rb_hd_POS_z	z	POS	rb_hd	mm	200
rb_hd_POS_err	n/a	POS	rb_hd	mm	200
start_1_POS_x	x	POS	start_1	mm	200
start_1_POS_y	y	POS	start_1	mm	200
start_1_POS_z	z	POS	start_1	mm	200
start_1_POS_err	n/a	POS	start_1	mm	200
start_2_POS_x	x	POS	start_2	mm	200
start_2_POS_y	y	POS	start_2	mm	200
start_2_POS_z	z	POS	start_2	mm	200
start_2_POS_err	n/a	POS	start_2	mm	200
end_1_POS_x	x	POS	end_1	mm	200
end_1_POS_y	y	POS	end_1	mm	200
end_1_POS_z	z	POS	end_1	mm	200
end_1_POS_err	n/a	POS	end_1	mm	200
end_2_POS_x	x	POS	end_2	mm	200
end_2_POS_y	y	POS	end_2	mm	200
end_2_POS_z	z	POS	end_2	mm	200
end_2_POS_err	n/a	POS	end_2	mm	200
